dimention_of_FFN,dimention_of_model,dropout_rate,layer_number,learning_rate,number_head,seed,total_loss,accuracy,
512,128,0.1,1,0.0003,4,900050,105.547142,0.893333316,
512,128,0.1,1,0.0005,4,900050,145.1774597,0.898333311,
512,128,0.15,1,0.0005,4,900050,145.1774597,0.898333311,
512,128,0.15,1,0.0002,4,900050,95.64241028,0.88499999,
512,128,0.15,1,0.0003,4,900050,105.547142,0.893333316,
512,128,0.15,6,0.0003,4,900050,96.83860016,0.903333306,
512,128,0.1,1,0.0003,4,900050,105.547142,0.893333316,
512,128,0.15,1,0.0003,4,900050,105.547142,0.893333316,
512,128,0.15,1,0.0003,4,900050,49.19726944,0.88499999,
512,128,0.15,3,0.0003,16,900050,60.16490173,0.902499974,
512,128,0.15,6,0.0003,8,900050,58.36659241,0.902499974,
512,128,0.15,6,0.0006,8,900050,103.9704819,0.50666666,
512,128,0.15,6,0.0001,8,900050,48.17886353,0.882499993,
512,128,0.15,6,0.0001,4,900050,22.44364929,0.883333325,
512,128,0.15,1,0.0001,4,900050,13.39889717,0.845000029,
512,128,0.15,6,0.0001,4,900050,146.8369446,0.879166663,
1024,256,0.15,6,0.0003,4,900050,203.2637482,0.556666672,
1024,256,0.15,6,0.0005,4,900050,207.9514313,0.49333334,
512,128,0.05,6,0.0005,4,900050,201.0738831,0.558333337,
512,128,0.1,6,0.0005,4,900050,201.0738831,0.558333337,
512,128,0.1,1,0.0005,4,900050,145.1774597,0.898333311,
512,128,0.1,3,0.0005,4,900050,118.088028,0.909166694,
512,128,0.1,3,0.0005,4,900050,60.18783951,0.904166639,
512,128,0.1,9,0.0005,4,900050,207.9427948,0.50666666,
512,128,0.1,9,0.0005,4,42,184.9286194,0.686666667,
512,128,0.1,9,0.0005,4,42,207.9408112,0.50666666,start gradient crop
512,128,0.1,9,0.0001,4,42,165.2648773,0.879166663,
512,128,0.15,9,0.0001,4,42,165.2648773,0.879166663,
512,128,0.15,9,0.0001,4,42,28.95589447,0.875,
512,128,0.15,9,0.001,4,42,51.98696518,0.49333334,
512,128,0.15,9,0.0003,4,42,32.12142563,0.880833328,
512,128,0.15,9,0.0006,4,42,31.18588257,0.856666684,
512,128,0.15,9,0.0004,4,42,32.24827576,0.86833334,
512,128,0.15,9,0.0003,4,42,32.12142563,0.880833328,
512,128,0.15,9,0.0003,4,42,32.12142563,0.880833328,
512,128,0.15,9,0.0005,4,42,30.80954552,0.87166667,
512,128,0.15,9,0.0004,4,42,32.24827576,0.86833334,
512,128,0.15,9,0.0006,4,42,31.18588257,0.856666684,
512,128,0.15,9,0.0003,4,241921,28.0070076,0.897499979,
512,128,0.15,9,0.0003,4,955185,31.2785244,0.88166666,
512,128,0.15,9,0.0003,4,857741,28.26710701,0.898333311,
512,128,0.15,9,0.0003,4,736502,30.60171127,0.876666665,
512,128,0.15,9,0.0003,4,967211,26.30426598,0.902499974,
512,128,0.15,9,0.0003,4,268652,33.01864243,0.882499993,
512,128,0.15,9,0.0003,4,720894,28.0015831,0.900833309,
512,128,0.15,9,0.0003,4,534133,28.45615005,0.899166644,
512,128,0.15,9,0.0003,4,524944,31.00662422,0.88166666,
512,128,0.15,9,0.0003,4,568285,31.69932747,0.879999995,
512,128,0.15,9,0.0003,4,470921,28.63990784,0.894999981,
512,128,0.15,9,0.0003,4,611005,27.18083191,0.900833309,
512,128,0.15,9,0.0003,4,485345,32.78712463,0.876666665,
512,128,0.15,9,0.0003,4,967211,26.30426598,0.902499974,
512,128,0.15,9,0.0003,4,967211,26.30426598,0.902499974,
512,128,0.15,9,0.0003,4,967211drop_first_residue,51.98777008,0.49333334,
512,128,0.15,9,0.0003,4,935802,29.376300811767578,0.8941666483879089,
